Hobby,Source ID,Title,IsCompleted
Krzyżówki / Łamigłówki logiczne,1,Rozwiąż pierwszą krzyżówkę panoramiczną,false
Krzyżówki / Łamigłówki logiczne,2,Opanuj podstawowe zasady rozwiązywania sudoku,false
Krzyżówki / Łamigłówki logiczne,3,Ukończ serię łamigłówek logicznych dla początkujących,false
Krzyżówki / Łamigłówki logiczne,4,Stwórz własną prostą krzyżówkę,false
Krzyżówki / Łamigłówki logiczne,5,Rozwiąż krzyżówkę w języku obcym,false
Narciarstwo,1,Zapisz się na podstawowy kurs narciarski,false
Narciarstwo,2,Opanuj podstawową pozycję narciarską,false
Narciarstwo,3,Naucz się bezpiecznego hamowania,false
Narciarstwo,4,Wykonaj pierwszy skręt,false
Narciarstwo,5,Zjedź samodzielnie trasą dla początkujących,false
Wyrób świec / mydeł,1,Zgromadź podstawowe materiały do wyrobu świec,false
Wyrób świec / mydeł,2,Wykonaj pierwszą świecę z wosku pszczelego,false
Wyrób świec / mydeł,3,Stwórz mydło z prostej receptury,false
Wyrób świec / mydeł,4,Eksperymentuj z zapachami i kolorami,false
Wyrób świec / mydeł,5,Przygotuj własną formę do świec,false
Windsurfing,1,Ukończ kurs podstawowy windsurfingu,false
Windsurfing,2,Naucz się prawidłowo trzymać żagiel,false
Windsurfing,3,Opanuj podstawy pływania na desce,false
Windsurfing,4,Wykonaj pierwszy zwrot,false
Windsurfing,5,Samodzielnie pływaj przy słabym wietrze,false
Tradycyjne sporty walki,1,Wybierz styl sztuki walki,false
Tradycyjne sporty walki,2,Zapisz się na zajęcia podstawowe,false
Tradycyjne sporty walki,3,Naucz się podstawowej postawy,false
Tradycyjne sporty walki,4,Opanuj pierwsze uderzenia,false
Tradycyjne sporty walki,5,Zdaj egzamin na pierwszy stopień,false
Degustacja kawy/herbaty,1,Poznaj podstawowe rodzaje kawy i herbaty,false
Degustacja kawy/herbaty,2,Naucz się prawidłowego parzenia,false
Degustacja kawy/herbaty,3,Rozpoznawaj podstawowe nuty smakowe,false
Degustacja kawy/herbaty,4,Zorganizuj pierwszą degustację,false
Degustacja kawy/herbaty,5,Stwórz dziennik degustacyjny,false
Kolekcjonowanie figurek,1,Wybierz tematykę kolekcji,false
Kolekcjonowanie figurek,2,Zdobądź pierwszą figurkę do kolekcji,false
Kolekcjonowanie figurek,3,Przygotuj miejsce do ekspozycji,false
Kolekcjonowanie figurek,4,Dołącz do społeczności kolekcjonerów,false
Kolekcjonowanie figurek,5,Skataloguj swoją kolekcję,false
Kolekcjonowanie monet,1,Poznaj podstawy numizmatyki,false
Kolekcjonowanie monet,2,Zdobądź pierwszą monetę kolekcjonerską,false
Kolekcjonowanie monet,3,Naucz się oceniać stan monet,false
Kolekcjonowanie monet,4,Stwórz system katalogowania,false
Kolekcjonowanie monet,5,Weź udział w giełdzie numizmatycznej,false
Robótki ręczne (szydełkowanie haftowanie),1,Naucz się podstawowego ściegu,false
Robótki ręczne (szydełkowanie haftowanie),2,Wykonaj prosty wzór na próbce,false
Robótki ręczne (szydełkowanie haftowanie),3,Zrób pierwszy mały projekt,false
Robótki ręczne (szydełkowanie haftowanie),4,Opanuj czytanie schematów,false
Robótki ręczne (szydełkowanie haftowanie),5,Stwórz własny wzór,false
Tworzenie aplikacji mobilnych,1,Zainstaluj środowisko programistyczne,false
Tworzenie aplikacji mobilnych,2,Wykonaj pierwszą aplikację Hello World,false
Tworzenie aplikacji mobilnych,3,Stwórz prosty interfejs użytkownika,false
Tworzenie aplikacji mobilnych,4,Dodaj podstawową funkcjonalność,false
Tworzenie aplikacji mobilnych,5,Opublikuj aplikację w sklepie,false
Tworzenie stron internetowych,1,Naucz się podstaw HTML,false
Tworzenie stron internetowych,2,Poznaj CSS,false
Tworzenie stron internetowych,3,Stwórz pierwszą prostą stronę,false
Tworzenie stron internetowych,4,Dodaj elementy interaktywne,false
Tworzenie stron internetowych,5,Opublikuj stronę w internecie,false
Akwarystyka morska,1,Zaplanuj wielkość akwarium,false
Akwarystyka morska,2,Przygotuj odpowiedni sprzęt,false
Akwarystyka morska,3,Uruchom pierwszy zbiornik,false
Akwarystyka morska,4,Wprowadź pierwsze organizmy,false
Akwarystyka morska,5,Utrzymuj stabilne parametry wody,false
Akwarystyka słodkowodna,1,Wybierz odpowiednie akwarium,false
Akwarystyka słodkowodna,2,Zainstaluj niezbędny sprzęt,false
Akwarystyka słodkowodna,3,Przygotuj wodę do akwarium,false
Akwarystyka słodkowodna,4,Zasadź pierwsze rośliny,false
Akwarystyka słodkowodna,5,Wprowadź pierwsze ryby,false
Animacja poklatkowa,1,Przygotuj sprzęt do animacji,false
Animacja poklatkowa,2,Stwórz prosty scenariusz,false
Animacja poklatkowa,3,Wykonaj pierwszą sekwencję ruchu,false
Animacja poklatkowa,4,Zmontuj krótką animację,false
Animacja poklatkowa,5,Dodaj dźwięk do animacji,false
Astrofotografia,1,Poznaj podstawy fotografii nocnej,false
Astrofotografia,2,Zdobądź odpowiedni sprzęt,false
Astrofotografia,3,Wykonaj pierwsze zdjęcie gwiazd,false
Astrofotografia,4,Sfotografuj Drogę Mleczną,false
Astrofotografia,5,Zrób zdjęcie obiektów głębokiego nieba,false
Badanie archiwów lokalnych,1,Poznaj system katalogowania archiwów,false
Badanie archiwów lokalnych,2,Odwiedź pierwsze archiwum,false
Badanie archiwów lokalnych,3,Znajdź interesujący dokument,false
Badanie archiwów lokalnych,4,Wykonaj pierwszą transkrypcję,false
Badanie archiwów lokalnych,5,Opracuj własny projekt badawczy,false
Base jumping,1,Ukończ kurs spadochronowy,false
Base jumping,2,Wykonaj wymagane skoki spadochronowe,false
Base jumping,3,Przejdź szkolenie base jumpingowe,false
Base jumping,4,Wykonaj pierwszy skok base,false
Base jumping,5,Dołącz do społeczności base jumperów,false
Bieganie,1,Rozpocznij program Couch to 5K,false
Bieganie,2,Skompletuj odpowiedni strój i buty,false
Bieganie,3,Przebież pierwszy dystans 5km,false
Bieganie,4,Ustal regularny plan treningowy,false
Bieganie,5,Weź udział w pierwszych zawodach,false
Biwakowanie,1,Skompletuj podstawowy sprzęt,false
Biwakowanie,2,Naucz się rozbijać namiot,false
Biwakowanie,3,Spędź pierwszą noc w terenie,false
Biwakowanie,4,Przygotuj posiłek na kuchence turystycznej,false
Biwakowanie,5,Zorganizuj weekend biwakowy,false
Boks,1,Zapisz się na treningi boksu,false
Boks,2,Naucz się podstawowej gardy,false
Boks,3,Opanuj podstawowe ciosy,false
Boks,4,Rozpocznij trening na worku,false
Boks,5,Weź udział w pierwszym sparingu,false
Bookbinding artystyczny,1,Poznaj podstawowe narzędzia introligatorskie,false
Bookbinding artystyczny,2,Wykonaj pierwszą oprawę zeszytową,false
Bookbinding artystyczny,3,Naucz się szycia bloku książki,false
Bookbinding artystyczny,4,Stwórz okładkę artystyczną,false
Bookbinding artystyczny,5,Opraw pierwszą książkę,false
Budowanie domków dla ptaków,1,Zaprojektuj prosty domek,false
Budowanie domków dla ptaków,2,Przygotuj materiały i narzędzia,false
Budowanie domków dla ptaków,3,Zbuduj pierwszy domek,false
Budowanie domków dla ptaków,4,Zainstaluj domek w odpowiednim miejscu,false
Budowanie domków dla ptaków,5,Monitoruj zasiedlenie domku,false
Budowanie i malowanie figurek do gier,1,Poznaj podstawowe materiały,false
Budowanie i malowanie figurek do gier,2,Przygotuj figurkę do malowania,false
Budowanie i malowanie figurek do gier,3,Wykonaj podstawowe malowanie,false
Budowanie i malowanie figurek do gier,4,Dodaj detale i cieniowanie,false
Budowanie i malowanie figurek do gier,5,Zabezpiecz pomalowaną figurkę,false
Budowanie modeli kolejek,1,Zaplanuj układ torów,false
Budowanie modeli kolejek,2,Zbuduj pierwszą sekcję torów,false
Budowanie modeli kolejek,3,Dodaj elementy krajobrazu,false
Budowanie modeli kolejek,4,Zainstaluj elektrykę,false
Budowanie modeli kolejek,5,Uruchom pierwszą kolejkę,false
Budowanie rakiet amatorskich,1,Poznaj zasady bezpieczeństwa,false
Budowanie rakiet amatorskich,2,Zbuduj pierwszą prostą rakietę,false
Budowanie rakiet amatorskich,3,Wykonaj pierwszy bezpieczny start,false
Budowanie rakiet amatorskich,4,Zbierz dane z lotu,false
Budowanie rakiet amatorskich,5,Zbuduj rakietę z elektronicznym systemem odzysku,false
Budowanie schronień w lesie,1,Poznaj podstawowe typy schronień,false
Budowanie schronień w lesie,2,Naucz się wybierać lokalizację,false
Budowanie schronień w lesie,3,Zbuduj proste schronienie,false
Budowanie schronień w lesie,4,Spędź noc w schronieniu,false
Budowanie schronień w lesie,5,Zbuduj schronienie długoterminowe,false
Chór,1,Poznaj swój zakres głosu,false
Chór,2,Naucz się czytać nuty,false
Chór,3,Dołącz do chóru,false
Chór,4,Weź udział w pierwszej próbie,false
Chór,5,Wystąp na pierwszym koncercie,false
Cosplay,1,Wybierz postać do odtworzenia,false
Cosplay,2,Przygotuj projekt kostiumu,false
Cosplay,3,Naucz się podstaw szycia,false
Cosplay,4,Stwórz pierwszy element stroju,false
Cosplay,5,Zaprezentuj się na konwencie,false
Czytanie książek,1,Stwórz listę książek do przeczytania,false
Czytanie książek,2,Przeczytaj pierwszą książkę z listy,false
Czytanie książek,3,Dołącz do klubu książki,false
Czytanie książek,4,Napisz pierwszą recenzję,false
Czytanie książek,5,Zorganizuj domową biblioteczkę,false
D&D,1,Zapoznaj się z podstawowymi zasadami,false
D&D,2,Stwórz pierwszą postać,false
D&D,3,Weź udział w pierwszej sesji,false
D&D,4,Poprowadź krótką przygodę jako DM,false
D&D,5,Stwórz własną kampanię,false
Degustacja win,1,Poznaj podstawowe szczepy winogron,false
Degustacja win,2,Naucz się prawidłowego degustowania,false
Degustacja win,3,Weź udział w profesjonalnej degustacji,false
Degustacja win,4,Stwórz dziennik degustacyjny,false
Degustacja win,5,Zorganizuj własną degustację,false
